order_id,order_value,category,payment_mode,pincode,timestamp,agent_id,agent_age_days,intent_category,intent_max_price,intent_key_attribute,order_category,order_price,order_key_attribute,user_id,user_historical_avg_order_value,user_historical_category,user_account_age_days,device_ip_consistency,user_past_over_budget_kept_rate,category_match,price_within_budget,attribute_match,preference_fit_signal,is_fraud,is_return_or_mismatch,true_spike_window,true_ring_id,fraud_risk_score,intent_match_confidence,preference_fit_score,decision,reason
txn_000010,8232.54,home,COD,50005,2026-01-05T09:18:00,agent_22,270,home,5462.46,attr_5,home,8232.54,attr_5,user_300,2555.12,home,1122,1,0.94,1,0,1,0.658,1,0,False,-1,0.455,0.333,0.94,HOLD_FRAUD_REVIEW,Fraud-risk score 0.46 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000011,11152.21,fashion,COD,500018,2026-01-05T07:26:00,agent_51,53,fashion,7788.7,attr_3,fashion,11152.21,attr_3,user_402,1291.44,fashion,352,1,0.68,1,0,1,0.476,1,0,False,-1,0.434,0.347,0.68,HOLD_QUICK_VERIFY,"Fraud-risk score 0.43 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000012,4548.18,footwear,prepaid,500015,2026-01-02T19:41:00,agent_24,39,footwear,7456.72,attr_1,footwear,4548.18,attr_1,user_74,2155.22,footwear,997,0,0.29,1,1,1,0.203,1,0,True,-1,0.452,0.723,0.29,HOLD_FRAUD_REVIEW,Fraud-risk score 0.45 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000013,4566.37,flights,COD,500017,2026-01-06T19:42:00,agent_28,243,flights,4970.32,attr_1,flights,4566.37,attr_1,user_167,5631.63,groceries,1179,1,0.11,1,1,1,0.033,1,0,False,-1,0.272,0.723,0.022,HOLD_QUICK_VERIFY,"Fraud-risk score 0.27 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000014,4956.64,flights,prepaid,500016,2026-01-09T09:02:00,agent_22,121,flights,3306.38,attr_4,flights,4956.64,attr_4,user_73,2842.35,flights,1302,1,0.25,1,0,1,0.175,0,0,False,-1,0.19,0.335,0.25,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.33) and doesn't align with this customer's history (preference-fit 0.25) — likely a mistaken purchase, held to prevent a probable return."
txn_000015,2480.57,electronics,COD,500017,2026-01-02T23:57:00,agent_17,370,electronics,1741.49,attr_1,electronics,2480.57,attr_1,user_368,1344.87,electronics,41,1,0.17,1,0,1,0.119,0,0,False,-1,0.269,0.348,0.17,HOLD_QUICK_VERIFY,"Fraud-risk score 0.27 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000016,2556.67,home,COD,500016,2026-01-03T12:29:00,agent_6,59,home,2370.41,attr_5,home,2556.67,attr_4,user_120,3641.78,home,83,1,0.52,1,0,0,0.364,0,0,False,-1,0.237,0.325,0.52,HOLD_CONFIRM_WITH_HUMAN,"Order deviates from stated intent (intent-match confidence 0.32), but this customer's history (preference-fit 0.52) suggests they may welcome this — routed to a quick human confirmation instead of auto-block."
txn_000017,1066.34,home,prepaid,50007,2026-01-09T22:09:00,agent_10,131,home,1509.14,attr_5,home,1066.34,attr_5,user_209,3448.37,home,1287,1,0.39,1,1,1,0.273,0,0,False,-1,0.199,0.723,0.39,AUTO_APPROVE,Low fraud-risk (0.20) and high intent-match confidence (0.72) — auto-approved.
txn_000018,3143.29,flights,COD,50005,2026-01-06T02:07:00,agent_33,143,flights,3345.98,attr_1,flights,3143.29,attr_1,user_266,2132.82,fashion,1375,1,0.33,1,1,1,0.099,0,0,False,-1,0.217,0.723,0.066,AUTO_APPROVE,Low fraud-risk (0.22) and high intent-match confidence (0.72) — auto-approved.
txn_000019,3740.49,fashion,COD,500013,2026-01-11T04:57:00,agent_51,122,fashion,5710.99,attr_3,fashion,3740.49,attr_3,user_203,1226.57,fashion,151,1,0.08,1,1,1,0.056,0,0,False,-1,0.228,0.723,0.08,AUTO_APPROVE,Low fraud-risk (0.23) and high intent-match confidence (0.72) — auto-approved.
txn_000020,3985.05,flights,prepaid,50009,2026-01-14T03:20:00,agent_31,88,flights,4925.57,attr_4,flights,3985.05,attr_4,user_246,1022.77,flights,265,1,0.57,1,1,1,0.399,0,0,False,-1,0.19,0.723,0.57,AUTO_APPROVE,Low fraud-risk (0.19) and high intent-match confidence (0.72) — auto-approved.
txn_000021,819.98,electronics,prepaid,500012,2026-01-02T15:54:00,agent_19,65,electronics,1157.82,attr_3,electronics,819.98,attr_3,user_79,2802.35,flights,1010,1,0.9,1,1,1,0.27,0,0,False,-1,0.267,0.723,0.18,HOLD_CONFIRM_WITH_HUMAN,"Fraud-risk score 0.27 is borderline (within 0.05 of threshold 0.25), but strong customer history (0.90) and a clean device/IP signal on this transaction downgrade this to human confirmation rather than fraud review."
txn_000022,5856.04,home,prepaid,50003,2026-01-07T01:58:00,agent_16,70,home,5972.64,attr_1,home,5856.04,attr_1,user_425,5648.77,flights,724,1,0.99,1,1,1,0.297,1,0,False,-1,0.358,0.723,0.198,HOLD_QUICK_VERIFY,"Fraud-risk score 0.36 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000023,540.46,home,COD,500013,2026-01-09T04:05:00,agent_27,314,home,592.27,attr_1,home,540.46,attr_1,user_196,5039.7,home,693,1,0.3,1,1,1,0.21,1,0,False,-1,0.472,0.723,0.3,HOLD_FRAUD_REVIEW,Fraud-risk score 0.47 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000024,11807.87,home,COD,50001,2026-01-12T14:57:00,agent_54,2,home,7993.29,attr_5,home,11807.87,attr_5,user_19,4161.27,home,144,1,0.03,1,0,1,0.021,0,0,False,-1,0.235,0.339,0.03,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.34) and doesn't align with this customer's history (preference-fit 0.03) — likely a mistaken purchase, held to prevent a probable return."
txn_000025,1410.25,footwear,COD,50001,2026-01-09T09:58:00,agent_7,740,footwear,2289.15,attr_2,footwear,1410.25,attr_2,user_63,814.78,home,1392,1,0.7,1,1,1,0.21,1,0,False,-1,0.47,0.723,0.14,HOLD_FRAUD_REVIEW,Fraud-risk score 0.47 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000026,1786.07,fashion,prepaid,500011,2026-01-09T18:00:00,agent_25,140,fashion,1664.1,attr_5,fashion,1786.07,attr_4,user_87,1561.73,fashion,1067,0,0.61,1,0,0,0.427,1,0,True,-1,0.526,0.325,0.61,HOLD_FRAUD_REVIEW,Fraud-risk score 0.53 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000027,5485.37,groceries,COD,50002,2026-01-14T14:40:00,agent_38,213,groceries,6380.61,attr_2,groceries,5485.37,attr_2,user_231,3648.27,groceries,1419,1,0.58,1,1,1,0.406,0,0,False,-1,0.275,0.723,0.58,HOLD_QUICK_VERIFY,"Fraud-risk score 0.28 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000028,1776.42,flights,COD,500014,2026-01-02T15:44:00,agent_55,3,flights,2585.57,attr_3,flights,1776.42,attr_3,user_18,2175.88,flights,920,1,0.41,1,1,1,0.287,0,0,False,-1,0.505,0.723,0.41,HOLD_FRAUD_REVIEW,Fraud-risk score 0.50 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000029,4033.72,electronics,COD,50009,2026-01-04T03:11:00,agent_42,54,electronics,4743.29,attr_3,electronics,4033.72,attr_3,user_404,4063.72,electronics,481,1,0.55,1,1,1,0.385,0,0,False,-1,0.283,0.723,0.55,HOLD_QUICK_VERIFY,"Fraud-risk score 0.28 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000030,8018.32,fashion,prepaid,500012,2026-01-07T23:52:00,agent_30,85,fashion,6499.03,attr_5,fashion,8018.32,attr_5,user_451,2229.48,groceries,182,1,0.84,1,0,1,0.252,0,0,False,-1,0.253,0.384,0.168,HOLD_CONFIRM_WITH_HUMAN,"Fraud-risk score 0.25 is borderline (within 0.05 of threshold 0.25), but strong customer history (0.84) and a clean device/IP signal on this transaction downgrade this to human confirmation rather than fraud review."
txn_000031,7198.93,footwear,prepaid,50009,2026-01-06T04:05:00,agent_40,49,footwear,5006.3,attr_5,footwear,7198.93,attr_5,user_105,1158.2,footwear,1438,0,0.77,1,0,1,0.539,0,1,False,-1,0.466,0.346,0.77,HOLD_FRAUD_REVIEW,Fraud-risk score 0.47 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000032,10203.61,fashion,COD,500011,2026-01-03T07:18:00,agent_19,30,fashion,7918.5,attr_5,fashion,10203.61,attr_5,user_91,5114.88,flights,220,1,0.39,1,0,1,0.117,1,0,False,-1,0.462,0.374,0.078,HOLD_FRAUD_REVIEW,Fraud-risk score 0.46 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000033,3625.52,electronics,COD,500019,2026-01-04T05:37:00,agent_35,114,electronics,4176.48,attr_5,electronics,3625.52,attr_5,user_362,3213.09,electronics,373,1,0.64,1,1,1,0.448,0,0,False,-1,0.299,0.723,0.64,HOLD_QUICK_VERIFY,"Fraud-risk score 0.30 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000034,8408.97,groceries,COD,500015,2026-01-12T17:29:00,agent_38,158,groceries,6264.71,attr_3,groceries,8408.97,attr_3,user_315,5186.09,groceries,1365,1,0.85,1,0,1,0.595,0,0,False,-1,0.367,0.364,0.85,HOLD_QUICK_VERIFY,"Fraud-risk score 0.37 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000035,7401.69,groceries,COD,50004,2026-01-03T15:52:00,agent_27,6,groceries,7455.95,attr_4,groceries,7401.69,attr_4,user_439,2191.44,groceries,20,1,0.7,1,1,1,0.49,1,0,False,-1,0.486,0.723,0.5,HOLD_FRAUD_REVIEW,Fraud-risk score 0.49 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000036,6288.19,groceries,prepaid,500020,2026-01-11T00:13:00,agent_49,527,groceries,6365.04,attr_4,groceries,6288.19,attr_4,user_367,5267.41,groceries,1101,1,0.55,1,1,1,0.385,0,0,False,-1,0.202,0.723,0.55,AUTO_APPROVE,Low fraud-risk (0.20) and high intent-match confidence (0.72) — auto-approved.
txn_000037,9438.98,home,COD,500015,2026-01-02T17:17:00,agent_4,2,home,6330.07,attr_5,home,9438.98,attr_3,user_186,5920.47,home,1467,1,0.79,1,0,0,0.553,0,1,False,-1,0.297,0.256,0.79,HOLD_QUICK_VERIFY,"Fraud-risk score 0.30 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000038,3793.09,home,COD,50001,2026-01-10T09:06:00,agent_32,73,home,6302.91,attr_1,home,3793.09,attr_1,user_15,4566.87,home,82,1,0.62,1,1,1,0.434,0,0,False,-1,0.281,0.723,0.62,HOLD_QUICK_VERIFY,"Fraud-risk score 0.28 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000039,4654.96,fashion,prepaid,50009,2026-01-10T07:52:00,agent_21,19,fashion,6895.86,attr_3,fashion,4654.96,attr_3,user_225,5193.4,fashion,889,1,0.27,1,1,1,0.189,0,0,False,-1,0.217,0.723,0.27,AUTO_APPROVE,Low fraud-risk (0.22) and high intent-match confidence (0.72) — auto-approved.
txn_000040,997.72,fashion,prepaid,50009,2026-01-05T02:47:00,agent_42,112,fashion,1526.16,attr_5,fashion,997.72,attr_5,user_176,3661.8,home,896,1,0.92,1,1,1,0.276,0,0,False,-1,0.19,0.723,0.184,AUTO_APPROVE,Low fraud-risk (0.19) and high intent-match confidence (0.72) — auto-approved.
txn_000041,4899.39,flights,COD,500012,2026-01-09T19:30:00,agent_35,46,electronics,3652.86,attr_1,flights,4899.39,attr_2,user_427,5775.65,flights,433,1,0.24,0,0,0,0.168,0,1,False,-1,0.302,0.145,0.24,HOLD_QUICK_VERIFY,"Fraud-risk score 0.30 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000042,4527.54,electronics,COD,50006,2026-01-13T03:26:00,agent_26,12,electronics,4711.17,attr_2,electronics,4527.54,attr_2,user_235,4855.86,flights,719,0,0.67,1,1,1,0.201,1,0,False,-1,0.558,0.723,0.134,HOLD_FRAUD_REVIEW,Fraud-risk score 0.56 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000043,5650.51,electronics,COD,50004,2026-01-10T01:38:00,agent_19,423,electronics,4345.49,attr_3,electronics,5650.51,attr_4,user_426,2881.35,electronics,1440,1,0.04,1,0,0,0.028,1,0,False,-1,0.455,0.286,0.04,HOLD_FRAUD_REVIEW,Fraud-risk score 0.46 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000044,3648.37,footwear,COD,500013,2026-01-10T16:43:00,agent_28,57,footwear,2765.54,attr_2,footwear,3648.37,attr_2,user_420,2667.69,footwear,12,1,0.86,1,0,1,0.602,0,0,False,-1,0.259,0.368,0.5,HOLD_CONFIRM_WITH_HUMAN,"Fraud-risk score 0.26 is borderline (within 0.05 of threshold 0.25), but strong customer history (0.86) and a clean device/IP signal on this transaction downgrade this to human confirmation rather than fraud review."
txn_000045,6333.19,flights,COD,50006,2026-01-04T08:49:00,agent_1,278,flights,5624.44,attr_2,flights,6333.19,attr_1,user_408,2319.05,electronics,82,1,0.71,1,0,0,0.213,1,0,False,-1,0.517,0.316,0.142,HOLD_FRAUD_REVIEW,Fraud-risk score 0.52 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000046,4641.7,footwear,prepaid,50004,2026-01-04T08:32:00,agent_33,228,footwear,4926.47,attr_1,footwear,4641.7,attr_1,user_227,5171.89,footwear,1281,1,0.16,1,1,1,0.112,0,0,False,-1,0.212,0.723,0.16,AUTO_APPROVE,Low fraud-risk (0.21) and high intent-match confidence (0.72) — auto-approved.
txn_000047,3062.62,home,prepaid,500013,2026-01-06T00:30:00,agent_48,240,home,2887.99,attr_3,home,3062.62,attr_3,user_151,3804.04,home,626,1,0.08,1,0,1,0.056,0,0,False,-1,0.226,0.418,0.08,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.42) and doesn't align with this customer's history (preference-fit 0.08) — likely a mistaken purchase, held to prevent a probable return."
txn_000048,1766.92,flights,prepaid,500017,2026-01-09T05:56:00,agent_10,5,fashion,1577.89,attr_2,flights,1766.92,attr_3,user_311,4312.02,fashion,765,0,0.0,0,0,0,0.0,0,0,False,-1,0.286,0.169,0.0,HOLD_QUICK_VERIFY,"Fraud-risk score 0.29 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000049,4499.03,electronics,COD,50006,2026-01-09T06:11:00,agent_50,12,electronics,5477.16,attr_5,electronics,4499.03,attr_5,user_376,599.88,electronics,354,1,0.25,1,1,1,0.175,1,0,False,-1,0.527,0.723,0.25,HOLD_FRAUD_REVIEW,Fraud-risk score 0.53 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000050,5195.0,flights,prepaid,500011,2026-01-11T12:48:00,agent_24,171,fashion,3644.54,attr_4,flights,5195.0,attr_4,user_341,3330.21,fashion,1196,1,0.41,0,0,1,0.123,0,1,False,-1,0.245,0.189,0.082,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.19) and doesn't align with this customer's history (preference-fit 0.08) — likely a mistaken purchase, held to prevent a probable return."
txn_000051,4968.84,electronics,prepaid,500019,2026-01-03T22:42:00,agent_46,391,electronics,6001.21,attr_5,electronics,4968.84,attr_5,user_452,5331.01,electronics,780,1,0.73,1,1,1,0.511,1,0,False,-1,0.411,0.723,0.73,HOLD_QUICK_VERIFY,"Fraud-risk score 0.41 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000052,8322.72,fashion,prepaid,500018,2026-01-02T09:17:00,agent_2,83,fashion,6077.0,attr_3,fashion,8322.72,attr_3,user_252,5885.74,fashion,1081,1,0.39,1,0,1,0.273,0,0,False,-1,0.19,0.359,0.39,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.36) and doesn't align with this customer's history (preference-fit 0.39) — likely a mistaken purchase, held to prevent a probable return."
txn_000053,1639.62,groceries,COD,50002,2026-01-06T11:22:00,agent_58,26,groceries,1721.54,attr_1,groceries,1639.62,attr_1,user_93,4265.09,groceries,1432,1,0.1,1,1,1,0.07,0,0,False,-1,0.196,0.723,0.1,AUTO_APPROVE,Low fraud-risk (0.20) and high intent-match confidence (0.72) — auto-approved.
txn_000054,3908.44,groceries,COD,500011,2026-01-04T14:28:00,agent_57,0,groceries,4111.19,attr_1,groceries,3908.44,attr_1,user_307,4088.86,groceries,174,1,0.29,1,1,1,0.203,0,0,False,-1,0.479,0.723,0.29,HOLD_FRAUD_REVIEW,Fraud-risk score 0.48 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000055,6372.19,flights,COD,50008,2026-01-02T21:55:00,agent_18,76,home,4646.74,attr_5,flights,6372.19,attr_4,user_417,1033.38,fashion,818,1,0.25,0,0,0,0.075,1,0,False,-1,0.481,0.142,0.05,HOLD_FRAUD_REVIEW,Fraud-risk score 0.48 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000056,1095.76,groceries,prepaid,50003,2026-01-03T20:56:00,agent_8,157,groceries,1404.92,attr_4,groceries,1095.76,attr_4,user_425,5428.67,groceries,404,1,0.18,1,1,1,0.126,0,0,False,-1,0.272,0.723,0.18,HOLD_QUICK_VERIFY,"Fraud-risk score 0.27 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000057,1902.94,flights,COD,500018,2026-01-08T08:57:00,agent_22,89,flights,2335.97,attr_2,flights,1902.94,attr_2,user_63,5670.1,footwear,1168,1,0.49,1,1,1,0.147,0,0,False,-1,0.209,0.723,0.098,AUTO_APPROVE,Low fraud-risk (0.21) and high intent-match confidence (0.72) — auto-approved.
txn_000058,3661.31,electronics,COD,500020,2026-01-14T05:44:00,agent_13,19,electronics,4658.12,attr_5,electronics,3661.31,attr_5,user_264,1892.52,electronics,187,0,0.32,1,1,1,0.224,1,0,False,-1,0.474,0.723,0.32,HOLD_FRAUD_REVIEW,Fraud-risk score 0.47 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000059,3615.47,flights,prepaid,500014,2026-01-12T08:46:00,agent_21,187,flights,4015.69,attr_1,flights,3615.47,attr_1,user_106,1340.82,fashion,84,1,0.79,1,1,1,0.237,0,0,False,-1,0.321,0.723,0.158,HOLD_QUICK_VERIFY,"Fraud-risk score 0.32 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000060,702.54,home,prepaid,500011,2026-01-01T00:46:00,agent_18,516,home,965.47,attr_3,home,702.54,attr_3,user_330,3020.44,home,236,1,0.39,1,1,1,0.273,0,0,False,-1,0.198,0.723,0.39,AUTO_APPROVE,Low fraud-risk (0.20) and high intent-match confidence (0.72) — auto-approved.
txn_000061,1486.4,flights,COD,500012,2026-01-14T04:41:00,agent_41,103,flights,1829.27,attr_1,flights,1486.4,attr_1,user_181,5153.04,flights,679,1,0.75,1,1,1,0.525,0,0,False,-1,0.366,0.723,0.75,HOLD_QUICK_VERIFY,"Fraud-risk score 0.37 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000062,3835.84,home,prepaid,500015,2026-01-06T14:22:00,agent_25,184,home,5898.37,attr_2,home,3835.84,attr_2,user_163,3299.14,electronics,974,1,0.41,1,1,1,0.123,1,0,True,-1,0.343,0.723,0.082,HOLD_QUICK_VERIFY,"Fraud-risk score 0.34 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000063,2818.86,fashion,prepaid,50003,2026-01-01T06:35:00,agent_33,61,fashion,1983.57,attr_4,fashion,2818.86,attr_2,user_350,4779.83,fashion,1005,1,0.28,1,0,0,0.196,0,0,False,-1,0.197,0.267,0.28,HOLD_LIKELY_MISMATCH,"Order deviates from stated intent (intent-match confidence 0.27) and doesn't align with this customer's history (preference-fit 0.28) — likely a mistaken purchase, held to prevent a probable return."
txn_000064,2257.84,fashion,prepaid,500020,2026-01-04T13:02:00,agent_58,170,fashion,2903.68,attr_4,fashion,2257.84,attr_4,user_164,2698.22,fashion,44,1,0.88,1,1,1,0.616,0,0,False,-1,0.186,0.723,0.88,AUTO_APPROVE,Low fraud-risk (0.19) and high intent-match confidence (0.72) — auto-approved.
txn_000065,1847.15,electronics,COD,500018,2026-01-09T18:44:00,agent_50,159,electronics,2331.54,attr_3,electronics,1847.15,attr_3,user_350,5519.7,electronics,1467,1,0.76,1,1,1,0.532,1,0,True,-1,0.431,0.723,0.76,HOLD_QUICK_VERIFY,"Fraud-risk score 0.43 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000066,3344.9,electronics,COD,500013,2026-01-04T13:56:00,agent_51,192,electronics,3574.87,attr_4,electronics,3344.9,attr_4,user_350,1703.71,electronics,259,1,0.34,1,1,1,0.238,1,0,False,-1,0.455,0.723,0.34,HOLD_FRAUD_REVIEW,Fraud-risk score 0.46 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000067,1983.77,fashion,COD,500013,2026-01-14T20:52:00,agent_40,55,fashion,1654.73,attr_1,fashion,1983.77,attr_2,user_355,2825.4,fashion,1400,0,0.07,1,0,0,0.049,1,0,False,-1,0.49,0.303,0.07,HOLD_FRAUD_REVIEW,Fraud-risk score 0.49 exceeds the high-confidence threshold 0.45 — held for manual fraud review.
txn_000068,4106.67,fashion,COD,500012,2026-01-08T16:03:00,agent_59,110,fashion,5646.22,attr_1,fashion,4106.67,attr_1,user_105,4089.78,footwear,779,1,0.73,1,1,1,0.219,0,0,False,-1,0.243,0.723,0.146,AUTO_APPROVE,Low fraud-risk (0.24) and high intent-match confidence (0.72) — auto-approved.
txn_000069,4378.87,footwear,COD,50008,2026-01-11T22:29:00,agent_20,156,footwear,6659.23,attr_4,footwear,4378.87,attr_4,user_77,2791.66,footwear,1125,1,0.49,1,1,1,0.343,0,0,False,-1,0.27,0.723,0.49,HOLD_QUICK_VERIFY,"Fraud-risk score 0.27 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
txn_000070,3505.47,electronics,COD,500011,2026-01-01T17:36:00,agent_46,0,electronics,3772.37,attr_5,electronics,3505.47,attr_5,user_22,691.61,electronics,1236,1,0.15,1,1,1,0.105,0,0,False,-1,0.34,0.723,0.15,HOLD_QUICK_VERIFY,"Fraud-risk score 0.34 is in the ambiguous [0.25, 0.45) band — not confidently fraud, but risky enough to require a quick re-verification step rather than a full manual fraud review."
